Id,first name,last name,gender,Phone,mail_id,dob,attendance,study hours,maths assignment,maths viva,physics assignment,physics viva,che assignment,che viva,Parental Involvement,Failures,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
24560,Christopher,Benson,female,8663543065.0,Christopher_24560@gmail.com,2004-4-6,100.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,0.0,113.0,113.0,115.0,112.0,111.0,118.0,120.0,120.0,115.0,111.0,113.0,114.0,118.0,120.0,117.0
24561,Erik,Callahan,female,7043762711.0,Erik_24561@gmail.com,2003-1-10,90.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,4.0,0.0,105.0,107.0,107.0,105.0,109.0,110.0,106.0,107.0,109.0,107.0,107.0,108.0,108.0,107.0,109.0
24562,Dawn,Watkins,male,8765629445.0,Dawn_24562@gmail.com,2002-9-24,90.0,6.0,9.0,8.0,9.0,8.0,9.0,9.0,5.0,0.0,102.0,105.0,100.0,104.0,105.0,102.0,100.0,103.0,105.0,105.0,101.0,105.0,102.0,101.0,100.0
24563,Scott,Benson,male,7126886830.0,Scott_24563@gmail.com,2003-11-10,81.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,95.0,97.0,99.0,96.0,97.0,97.0,96.0,98.0,95.0,99.0,96.0,95.0,98.0,95.0,95.0
24564,Vincent,Mcintyre,male,7671749483.0,Vincent_24564@gmail.com,2003-5-19,79.0,5.0,8.0,8.0,7.0,8.0,7.0,8.0,4.0,0.0,90.0,93.0,94.0,92.0,92.0,95.0,94.0,92.0,93.0,93.0,95.0,92.0,94.0,92.0,90.0
24565,Kyle,Jordan,female,6804951540.0,Kyle_24565@gmail.com,2004-2-23,73.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,9.0,0.0,89.0,87.0,88.0,88.0,90.0,89.0,89.0,85.0,86.0,88.0,85.0,87.0,85.0,85.0,85.0
24566,Nathan,Vaughn,female,8993140813.0,Nathan_24566@gmail.com,2003-7-24,65.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,3.0,0.0,80.0,83.0,85.0,80.0,82.0,82.0,84.0,84.0,81.0,82.0,83.0,85.0,81.0,60.0,77.0
24567,Teresa,Sanchez,male,8932066817.0,Teresa_24567@gmail.com,2002-4-26,60.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,8.0,0.0,75.0,79.0,78.0,78.0,78.0,77.0,80.0,75.0,75.0,80.0,78.0,79.0,78.0,80.0,75.0
24568,Erica,Pope,female,7550399197.0,Erica_24568@gmail.com,2002-6-23,55.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,0.0,70.0,73.0,73.0,72.0,71.0,74.0,75.0,73.0,73.0,72.0,74.0,70.0,71.0,70.0,70.0
24569,Nicole,Crawford,female,7610425070.0,Nicole_24569@gmail.com,2003-4-26,53.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,0.0,66.0,65.0,68.0,67.0,70.0,68.0,68.0,67.0,69.0,70.0,70.0,68.0,66.0,66.0,65.0
24570,Travis,Santos,female,8425448315.0,Travis_24570@gmail.com,2002-9-10,47.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,0.0,60.0,64.0,63.0,64.0,64.0,64.0,60.0,65.0,64.0,64.0,60.0,64.0,63.0,64.0,63.0
24571,Philip,Anderson,male,6320469411.0,Philip_24571@gmail.com,2002-9-21,40.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,7.0,0.0,55.0,56.0,57.0,60.0,59.0,60.0,59.0,57.0,58.0,57.0,57.0,57.0,56.0,56.0,58.0
24572,Paula,Burton,male,8665195652.0,Paula_24572@gmail.com,2004-4-15,40.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0,51.0,53.0,51.0,51.0,54.0,54.0,51.0,50.0,54.0,55.0,55.0,50.0,51.0,51.0,51.0
24573,Anthony,Reyes,male,7486131683.0,Anthony_24573@gmail.com,2003-12-25,32.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,48.0,47.0,48.0,50.0,46.0,50.0,49.0,50.0,46.0,47.0,45.0,50.0,46.0,46.0,48.0
24574,Martin,Morrison,female,8052783902.0,Martin_24574@gmail.com,2004-8-17,28.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,41.0,40.0,41.0,41.0,41.0,41.0,40.0,40.0,44.0,44.0,44.0,41.0,41.0,40.0,42.0
24575,Karen,Vang,male,8084533774.0,Karen_24575@gmail.com,2004-10-9,21.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,39.0,40.0,40.0,38.0,40.0,40.0,37.0,39.0,35.0,38.0,38.0,36.0,39.0,35.0,39.0
24576,Kathleen,Webb,female,8578641732.0,Kathleen_24576@gmail.com,2002-10-19,15.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,10.0,0.0,32.0,31.0,34.0,33.0,31.0,32.0,30.0,32.0,35.0,33.0,32.0,33.0,30.0,30.0,31.0
24577,Amanda,Sampson,female,7471477677.0,Amanda_24577@gmail.com,2004-12-4,13.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,27.0,27.0,29.0,30.0,30.0,30.0,28.0,29.0,29.0,30.0,25.0,27.0,25.0,28.0,25.0
24578,Amanda,Ramirez,male,6653310650.0,Amanda_24578@gmail.com,2002-1-9,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,24.0,22.0,18.0,20.0,20.0,11.0,25.0,25.0,12.0,19.0,18.0,22.0,17.0,20.0,21.0
24579,Margaret,Bennett,female,8559519078.0,Margaret_24579@gmail.com,2003-3-19,4.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,9.0,0.0,6.0,2.0,2.0,0.0,8.0,4.0,10.0,6.0,7.0,2.0,1.0,4.0,7.0
24580,Elizabeth,Mcdaniel,female,9097598716.0,Elizabeth_24580@gmail.com,2003-1-21,96.0,5.0,9.0,10.0,10.0,10.0,9.0,9.0,4.0,0.0,117.0,110.0,119.0,114.0,112.0,116.0,118.0,117.0,114.0,110.0,113.0,117.0,110.0,111.0,120.0
24581,Susan,Martin,male,8382191863.0,Susan_24581@gmail.com,2002-9-6,94.0,6.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,0.0,106.0,107.0,108.0,108.0,105.0,110.0,109.0,109.0,108.0,106.0,105.0,109.0,109.0,110.0,105.0
24582,Devin,Sparks,male,9328397173.0,Devin_24582@gmail.com,2004-5-14,89.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,1.0,0.0,103.0,105.0,101.0,103.0,104.0,104.0,100.0,102.0,102.0,102.0,102.0,100.0,102.0,105.0,104.0
24583,Leslie,Sexton,female,6615350288.0,Leslie_24583@gmail.com,2002-10-13,84.0,3.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,0.0,97.0,99.0,96.0,99.0,100.0,98.0,96.0,95.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0
24584,Robert,Lawrence,male,6525526763.0,Robert_24584@gmail.com,2004-4-3,79.0,1.0,7.0,8.0,7.0,8.0,7.0,8.0,10.0,0.0,92.0,93.0,94.0,90.0,91.0,92.0,93.0,92.0,93.0,90.0,90.0,90.0,92.0,94.0,93.0
24585,Sylvia,Vaughn,female,7051619152.0,Sylvia_24585@gmail.com,2002-9-9,74.0,0.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,0.0,88.0,87.0,88.0,89.0,90.0,88.0,90.0,85.0,88.0,90.0,86.0,88.0,88.0,87.0,89.0
24586,Kendra,Duncan,female,7976884325.0,Kendra_24586@gmail.com,2002-3-2,65.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,0.0,81.0,82.0,82.0,85.0,81.0,82.0,80.0,83.0,81.0,80.0,81.0,82.0,75.0,71.0,77.0
24587,Diane,Clark,female,7363665823.0,Diane_24587@gmail.com,2003-12-9,60.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,9.0,0.0,80.0,75.0,79.0,75.0,80.0,80.0,80.0,79.0,80.0,77.0,79.0,78.0,80.0,75.0,78.0
24588,David,Phillips,female,6834359447.0,David_24588@gmail.com,2003-2-28,60.0,0.0,6.0,6.0,5.0,5.0,5.0,6.0,8.0,0.0,74.0,70.0,72.0,70.0,71.0,75.0,72.0,70.0,70.0,75.0,75.0,73.0,71.0,70.0,74.0
24589,Eric,Romero,male,6614809182.0,Eric_24589@gmail.com,2004-7-3,52.0,0.0,5.0,6.0,6.0,6.0,5.0,6.0,9.0,0.0,70.0,68.0,67.0,67.0,65.0,69.0,65.0,69.0,66.0,69.0,69.0,69.0,65.0,66.0,65.0
24590,Daniel,Garcia,male,8594589753.0,Daniel_24590@gmail.com,2003-12-15,49.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,0.0,61.0,61.0,61.0,60.0,65.0,63.0,65.0,65.0,64.0,63.0,60.0,64.0,62.0,64.0,62.0
24591,Chad,Gould,female,8418317492.0,Chad_24591@gmail.com,2003-2-9,41.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,0.0,57.0,59.0,55.0,56.0,60.0,57.0,60.0,56.0,58.0,56.0,60.0,56.0,60.0,60.0,57.0
24592,Holly,Potter,female,6720685517.0,Holly_24592@gmail.com,2004-12-11,37.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,55.0,50.0,50.0,50.0,51.0,55.0,51.0,53.0,52.0,55.0,50.0,50.0,50.0,54.0,53.0
24593,Tina,Snyder,female,7689891095.0,Tina_24593@gmail.com,2002-4-2,35.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,47.0,46.0,49.0,48.0,48.0,50.0,46.0,47.0,45.0,46.0,45.0,45.0,46.0,49.0,49.0
24594,Michelle,Byrd,female,9252001691.0,Michelle_24594@gmail.com,2003-4-17,29.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,0.0,42.0,42.0,41.0,44.0,43.0,40.0,44.0,40.0,45.0,45.0,44.0,40.0,43.0,45.0,42.0
24595,Roger,Lee,male,7830404138.0,Roger_24595@gmail.com,2004-8-22,21.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,10.0,0.0,37.0,35.0,35.0,40.0,36.0,39.0,36.0,35.0,35.0,35.0,38.0,40.0,38.0,35.0,35.0
24596,Sarah,Adams,female,7566376483.0,Sarah_24596@gmail.com,2004-2-20,20.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,0.0,32.0,30.0,30.0,32.0,33.0,30.0,32.0,32.0,31.0,33.0,35.0,32.0,34.0,33.0,32.0
24597,Matthew,Bean,male,7568588327.0,Matthew_24597@gmail.com,2002-7-21,13.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,26.0,27.0,27.0,30.0,27.0,29.0,30.0,26.0,29.0,26.0,26.0,30.0,27.0,29.0,28.0
24598,Leonard,Campbell,female,9153205376.0,Leonard_24598@gmail.com,2004-1-12,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,23.0,18.0,16.0,13.0,18.0,10.0,18.0,11.0,17.0,12.0,20.0,11.0,23.0,18.0,23.0
24599,Ashley,Young,male,7112103407.0,Ashley_24599@gmail.com,2003-5-19,5.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,3.0,2.0,9.0,0.0,5.0,10.0,1.0,8.0,4.0,5.0,8.0,4.0,4.0,2.0,8.0
24600,James,Powell,male,9162693927.0,James_24600@gmail.com,2003-3-26,100.0,1.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,0.0,120.0,112.0,117.0,114.0,120.0,116.0,114.0,117.0,117.0,112.0,111.0,118.0,116.0,116.0,116.0
24601,Sandra,Perkins,male,7297647509.0,Sandra_24601@gmail.com,2002-8-20,93.0,5.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,0.0,109.0,108.0,109.0,109.0,107.0,106.0,107.0,110.0,105.0,106.0,107.0,110.0,105.0,110.0,110.0
24602,James,Reed,male,9267379715.0,James_24602@gmail.com,2004-3-27,90.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,0.0,100.0,102.0,101.0,104.0,104.0,104.0,105.0,103.0,105.0,101.0,104.0,103.0,101.0,105.0,101.0
24603,Mark,Foster,female,7883167039.0,Mark_24603@gmail.com,2003-6-25,81.0,4.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,0.0,99.0,100.0,100.0,96.0,99.0,96.0,97.0,95.0,95.0,100.0,97.0,99.0,100.0,98.0,96.0
24604,Donald,Miranda,male,9125124455.0,Donald_24604@gmail.com,2002-12-12,78.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,5.0,0.0,95.0,90.0,91.0,92.0,95.0,92.0,92.0,90.0,95.0,94.0,94.0,90.0,95.0,90.0,90.0
24605,Tara,Townsend,male,6374325279.0,Tara_24605@gmail.com,2002-12-4,70.0,3.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,0.0,86.0,90.0,86.0,88.0,85.0,85.0,85.0,88.0,87.0,88.0,90.0,86.0,86.0,85.0,88.0
24606,Jacqueline,Reynolds,male,9248180619.0,Jacqueline_24606@gmail.com,2002-1-3,67.0,2.0,7.0,6.0,7.0,6.0,7.0,7.0,9.0,0.0,80.0,83.0,84.0,80.0,82.0,80.0,80.0,84.0,81.0,80.0,80.0,80.0,76.0,65.0,55.0
24607,Ryan,Clark,female,9262060299.0,Ryan_24607@gmail.com,2003-5-4,60.0,2.0,7.0,6.0,6.0,7.0,7.0,6.0,1.0,0.0,77.0,78.0,79.0,78.0,79.0,77.0,77.0,75.0,76.0,76.0,79.0,80.0,79.0,76.0,78.0
24608,Joe,Nelson,female,8316475148.0,Joe_24608@gmail.com,2004-2-2,60.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,2.0,0.0,73.0,75.0,71.0,73.0,75.0,71.0,72.0,71.0,70.0,70.0,72.0,71.0,70.0,71.0,70.0
24609,Mark,Fox,female,6310513637.0,Mark_24609@gmail.com,2002-3-7,51.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,0.0,70.0,69.0,70.0,69.0,70.0,69.0,70.0,69.0,69.0,70.0,68.0,68.0,66.0,66.0,65.0
24610,Kim,Smith,female,9359585733.0,Kim_24610@gmail.com,2002-1-22,46.0,7.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,0.0,62.0,60.0,65.0,62.0,61.0,60.0,63.0,60.0,60.0,65.0,62.0,65.0,65.0,60.0,65.0
24611,Kristin,Gaines,female,7230235221.0,Kristin_24611@gmail.com,2003-11-24,40.0,8.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,0.0,56.0,55.0,60.0,59.0,56.0,57.0,59.0,60.0,60.0,59.0,59.0,60.0,55.0,55.0,56.0
24612,Kimberly,Holland,female,8987349740.0,Kimberly_24612@gmail.com,2003-11-6,37.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,54.0,52.0,54.0,52.0,50.0,51.0,55.0,55.0,50.0,50.0,53.0,51.0,51.0,55.0,53.0
24613,Kimberly,Gonzalez,male,6285255124.0,Kimberly_24613@gmail.com,2003-1-6,34.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,0.0,48.0,46.0,45.0,50.0,46.0,46.0,49.0,50.0,48.0,47.0,45.0,47.0,47.0,50.0,47.0
24614,Christopher,Morris,female,8790974272.0,Christopher_24614@gmail.com,2002-6-8,28.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,43.0,44.0,41.0,41.0,43.0,41.0,41.0,44.0,40.0,41.0,43.0,43.0,40.0,45.0,44.0
24615,Robin,Hogan,male,8251063849.0,Robin_24615@gmail.com,2004-6-25,22.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,9.0,0.0,38.0,38.0,39.0,40.0,36.0,37.0,40.0,35.0,36.0,39.0,40.0,40.0,35.0,36.0,37.0
24616,Patrick,Burgess,male,8191095483.0,Patrick_24616@gmail.com,2003-11-22,15.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,32.0,34.0,31.0,33.0,33.0,31.0,31.0,34.0,32.0,33.0,35.0,34.0,30.0,34.0,32.0
24617,Jane,Moreno,male,8466407467.0,Jane_24617@gmail.com,2004-9-1,14.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,27.0,29.0,25.0,30.0,28.0,26.0,25.0,28.0,30.0,26.0,28.0,30.0,26.0,28.0,29.0
24618,Leslie,French,male,7706197657.0,Leslie_24618@gmail.com,2004-10-5,6.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,21.0,11.0,13.0,16.0,15.0,17.0,21.0,14.0,23.0,20.0,17.0,20.0,15.0,18.0,19.0
24619,Bianca,Hartman,female,8629416383.0,Bianca_24619@gmail.com,2003-1-21,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,9.0,4.0,2.0,0.0,2.0,9.0,4.0,6.0,7.0,6.0,4.0
24620,Taylor,Phillips,male,6972309628.0,Taylor_24620@gmail.com,2002-11-17,98.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,0.0,119.0,117.0,112.0,117.0,111.0,111.0,119.0,116.0,113.0,113.0,111.0,117.0,119.0,119.0,117.0
24621,Mary,Hogan,female,7462235514.0,Mary_24621@gmail.com,2004-6-8,94.0,5.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,0.0,105.0,109.0,110.0,108.0,106.0,110.0,109.0,108.0,105.0,110.0,109.0,105.0,107.0,105.0,107.0
24622,Laura,Roberts,female,7825186649.0,Laura_24622@gmail.com,2002-6-24,85.0,0.0,8.0,8.0,8.0,8.0,8.0,9.0,4.0,0.0,102.0,101.0,100.0,101.0,105.0,103.0,103.0,100.0,103.0,102.0,101.0,100.0,104.0,104.0,105.0
24623,Anthony,Rose,female,7933077927.0,Anthony_24623@gmail.com,2002-4-12,85.0,6.0,8.0,9.0,8.0,9.0,8.0,8.0,5.0,0.0,97.0,96.0,98.0,97.0,98.0,99.0,96.0,100.0,99.0,97.0,97.0,96.0,98.0,96.0,100.0
24624,Barry,Sandoval,female,7482356817.0,Barry_24624@gmail.com,2002-2-5,80.0,4.0,8.0,7.0,7.0,7.0,8.0,8.0,1.0,0.0,90.0,94.0,91.0,90.0,90.0,93.0,93.0,95.0,91.0,92.0,94.0,94.0,92.0,92.0,95.0
24625,Julian,Rogers,female,8620545410.0,Julian_24625@gmail.com,2004-7-9,72.0,5.0,8.0,8.0,7.0,7.0,8.0,7.0,5.0,0.0,87.0,88.0,85.0,85.0,86.0,85.0,85.0,85.0,88.0,86.0,89.0,90.0,86.0,85.0,89.0
24626,Brandon,Brown,female,7153829378.0,Brandon_24626@gmail.com,2003-8-14,68.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,9.0,0.0,83.0,81.0,84.0,84.0,85.0,85.0,82.0,80.0,83.0,80.0,85.0,84.0,79.0,66.0,69.0
24627,Tyler,Harris,male,8603372123.0,Tyler_24627@gmail.com,2004-6-7,63.0,0.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,0.0,76.0,77.0,78.0,79.0,79.0,80.0,77.0,80.0,79.0,77.0,79.0,79.0,75.0,77.0,79.0
24628,Eileen,Robinson,male,8623875667.0,Eileen_24628@gmail.com,2003-2-13,55.0,7.0,6.0,5.0,6.0,5.0,6.0,5.0,1.0,0.0,73.0,71.0,74.0,75.0,72.0,72.0,75.0,74.0,70.0,71.0,73.0,74.0,72.0,74.0,72.0
24629,Dakota,Stone,male,7877035484.0,Dakota_24629@gmail.com,2003-5-24,52.0,3.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,0.0,69.0,65.0,66.0,68.0,68.0,69.0,67.0,66.0,70.0,67.0,65.0,67.0,65.0,69.0,69.0
24630,Margaret,Cook,female,7374035038.0,Margaret_24630@gmail.com,2002-10-20,49.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,0.0,64.0,65.0,64.0,60.0,62.0,61.0,64.0,62.0,62.0,60.0,60.0,63.0,64.0,60.0,64.0
24631,Alicia,Freeman,male,7078737518.0,Alicia_24631@gmail.com,2003-3-10,44.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,0.0,57.0,60.0,59.0,58.0,55.0,56.0,60.0,60.0,60.0,59.0,55.0,55.0,60.0,58.0,55.0
24632,Walter,Stephenson,male,9206277069.0,Walter_24632@gmail.com,2004-1-24,37.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,8.0,0.0,52.0,51.0,50.0,53.0,50.0,52.0,52.0,53.0,54.0,50.0,52.0,50.0,53.0,51.0,54.0
24633,Kathy,Melton,female,7179337167.0,Kathy_24633@gmail.com,2003-5-1,30.0,8.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,45.0,50.0,45.0,50.0,45.0,46.0,45.0,46.0,45.0,45.0,47.0,48.0,49.0,49.0,45.0
24634,Cheryl,Richmond,male,8213110955.0,Cheryl_24634@gmail.com,2004-4-11,26.0,6.0,2.0,3.0,3.0,2.0,2.0,3.0,8.0,0.0,44.0,44.0,44.0,42.0,45.0,41.0,43.0,43.0,44.0,40.0,45.0,43.0,42.0,43.0,44.0
24635,James,Swanson,male,6448504844.0,James_24635@gmail.com,2004-2-2,23.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,7.0,0.0,35.0,35.0,36.0,36.0,37.0,40.0,39.0,39.0,38.0,38.0,38.0,40.0,36.0,39.0,35.0
24636,Jenny,Banks,female,8475760591.0,Jenny_24636@gmail.com,2003-7-21,20.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,30.0,31.0,34.0,31.0,35.0,30.0,31.0,31.0,32.0,35.0,35.0,35.0,32.0,35.0,31.0
24637,Cody,Harrison,female,9154629620.0,Cody_24637@gmail.com,2004-10-5,15.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,0.0,26.0,30.0,26.0,25.0,29.0,27.0,29.0,25.0,27.0,27.0,29.0,30.0,26.0,25.0,26.0
24638,Alexandra,Hernandez,female,6815777220.0,Alexandra_24638@gmail.com,2004-4-1,9.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,22.0,17.0,24.0,24.0,12.0,15.0,23.0,14.0,20.0,21.0,23.0,23.0,10.0,13.0,12.0
24639,Ebony,Munoz,male,8969252709.0,Ebony_24639@gmail.com,2002-11-17,4.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,2.0,8.0,3.0,9.0,10.0,8.0,3.0,7.0,8.0,1.0,1.0,2.0,8.0,6.0,0.0
24640,Paul,Barker,female,7011223238.0,Paul_24640@gmail.com,2002-3-12,96.0,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,0.0,111.0,115.0,114.0,110.0,119.0,118.0,120.0,119.0,115.0,112.0,110.0,113.0,117.0,115.0,118.0
24641,Philip,Pitts,male,7293293726.0,Philip_24641@gmail.com,2004-10-10,94.0,7.0,9.0,9.0,10.0,10.0,9.0,10.0,6.0,0.0,107.0,108.0,107.0,109.0,109.0,109.0,106.0,106.0,106.0,109.0,105.0,109.0,109.0,107.0,108.0
24642,Ana,Rogers,female,7049777649.0,Ana_24642@gmail.com,2003-8-11,85.0,6.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,0.0,102.0,101.0,100.0,100.0,100.0,105.0,105.0,102.0,101.0,100.0,104.0,100.0,102.0,101.0,102.0
24643,Lance,Higgins,male,7938868762.0,Lance_24643@gmail.com,2004-11-9,85.0,4.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0,97.0,97.0,100.0,99.0,97.0,98.0,98.0,97.0,96.0,100.0,97.0,96.0,95.0,98.0,100.0
24644,Roger,Hale,male,9208428684.0,Roger_24644@gmail.com,2003-11-25,77.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,0.0,91.0,90.0,93.0,92.0,93.0,92.0,92.0,94.0,94.0,91.0,92.0,91.0,93.0,92.0,92.0
24645,Marc,Walker,male,7510086821.0,Marc_24645@gmail.com,2002-9-14,72.0,4.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,0.0,86.0,90.0,87.0,90.0,87.0,86.0,87.0,86.0,89.0,90.0,87.0,86.0,90.0,90.0,86.0
24646,William,Mueller,female,6366075757.0,William_24646@gmail.com,2004-10-4,68.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,2.0,0.0,82.0,82.0,80.0,85.0,80.0,82.0,84.0,84.0,82.0,83.0,82.0,81.0,50.0,76.0,70.0
24647,Michael,Harris,female,6458063782.0,Michael_24647@gmail.com,2003-11-5,64.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,3.0,0.0,80.0,80.0,75.0,76.0,79.0,76.0,78.0,77.0,79.0,76.0,79.0,79.0,76.0,80.0,78.0
24648,Charles,Thomas,male,7857966397.0,Charles_24648@gmail.com,2004-5-5,60.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,0.0,70.0,75.0,71.0,71.0,73.0,70.0,75.0,73.0,73.0,72.0,75.0,72.0,75.0,72.0,71.0
24649,Robert,Schneider,female,7287547365.0,Robert_24649@gmail.com,2003-4-9,52.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,0.0,70.0,68.0,66.0,69.0,66.0,66.0,66.0,68.0,70.0,68.0,69.0,70.0,68.0,65.0,66.0
24650,Amanda,Alexander,female,8882422804.0,Amanda_24650@gmail.com,2004-5-23,49.0,0.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,63.0,65.0,63.0,64.0,62.0,62.0,64.0,61.0,65.0,63.0,64.0,64.0,61.0,65.0,62.0
24651,Evan,Lewis,male,6552126353.0,Evan_24651@gmail.com,2002-8-25,45.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,0.0,58.0,55.0,59.0,59.0,58.0,58.0,57.0,58.0,56.0,58.0,57.0,56.0,57.0,56.0,60.0
24652,Carla,Booker,female,7204651345.0,Carla_24652@gmail.com,2002-8-27,40.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,7.0,0.0,52.0,51.0,53.0,52.0,52.0,50.0,53.0,53.0,52.0,51.0,51.0,51.0,51.0,53.0,50.0
24653,Angela,Quinn,male,6953495559.0,Angela_24653@gmail.com,2003-10-28,32.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,47.0,48.0,47.0,50.0,48.0,50.0,45.0,50.0,48.0,45.0,46.0,49.0,47.0,46.0,49.0
24654,Jason,Raymond,female,7564552861.0,Jason_24654@gmail.com,2003-6-5,27.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,42.0,43.0,45.0,45.0,43.0,44.0,43.0,41.0,42.0,41.0,40.0,43.0,44.0,43.0,41.0
24655,Valerie,Hernandez,male,7736521956.0,Valerie_24655@gmail.com,2003-12-18,25.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,0.0,36.0,35.0,40.0,36.0,36.0,36.0,35.0,36.0,37.0,37.0,40.0,38.0,40.0,38.0,35.0
24656,Cody,Rowland,male,6931244593.0,Cody_24656@gmail.com,2002-6-21,19.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,0.0,35.0,35.0,31.0,30.0,34.0,31.0,33.0,32.0,33.0,35.0,30.0,30.0,32.0,33.0,31.0
